,P_fit
2018-01-01 00:00:00,0.0
2018-01-01 00:15:00,0.0
2018-01-01 00:30:00,0.0
2018-01-01 00:45:00,0.0
2018-01-01 01:00:00,0.0
2018-01-01 01:15:00,0.0
2018-01-01 01:30:00,0.0
2018-01-01 01:45:00,0.0
2018-01-01 02:00:00,0.0
2018-01-01 02:15:00,0.0
2018-01-01 02:30:00,0.0
2018-01-01 02:45:00,0.0
2018-01-01 03:00:00,0.0
2018-01-01 03:15:00,0.0
2018-01-01 03:30:00,0.0
2018-01-01 03:45:00,0.0
2018-01-01 04:00:00,0.0
2018-01-01 04:15:00,0.0
2018-01-01 04:30:00,0.0
2018-01-01 04:45:00,0.0
2018-01-01 05:00:00,0.0
2018-01-01 05:15:00,0.0
2018-01-01 05:30:00,0.0
2018-01-01 05:45:00,0.0
2018-01-01 06:00:00,0.0
2018-01-01 06:15:00,0.0
2018-01-01 06:30:00,0.0
2018-01-01 06:45:00,0.0
2018-01-01 07:00:00,0.0
2018-01-01 07:15:00,0.0
2018-01-01 07:30:00,0.0
2018-01-01 07:45:00,0.0
2018-01-01 08:00:00,0.0
2018-01-01 08:15:00,1.3339251773550782
2018-01-01 08:30:00,5.3367112284795715
2018-01-01 08:45:00,9.845917417400369
2018-01-01 09:00:00,14.390739956628847
2018-01-01 09:15:00,18.667335073238373
2018-01-01 09:30:00,22.514816983528625
2018-01-01 09:45:00,25.85517738258887
2018-01-01 10:00:00,28.668736517431242
2018-01-01 10:15:00,30.955714136518015
2018-01-01 10:30:00,32.77088629746079
2018-01-01 10:45:00,34.16687097668683
2018-01-01 11:00:00,35.194253464074116
2018-01-01 11:15:00,35.90413509971615
2018-01-01 11:30:00,36.33784340035824
2018-01-01 11:45:00,36.52679718916132
2018-01-01 12:00:00,36.48409693060632
2018-01-01 12:15:00,36.2275661675224
2018-01-01 12:30:00,35.72993304443488
2018-01-01 12:45:00,34.96497205792297
2018-01-01 13:00:00,33.89506971611186
2018-01-01 13:15:00,32.48861762066888
2018-01-01 13:30:00,30.67858960402466
2018-01-01 13:45:00,28.41822063573246
2018-01-01 14:00:00,25.670251933227284
2018-01-01 14:15:00,22.42311948731896
2018-01-01 14:30:00,18.68304153788212
2018-01-01 14:45:00,14.52120150609867
2018-01-01 15:00:00,10.088627433123472
2018-01-01 15:15:00,5.660500720520129
2018-01-01 15:30:00,1.6713722796432953
2018-01-01 15:45:00,0.0
2018-01-01 16:00:00,0.0
2018-01-01 16:15:00,0.0
2018-01-01 16:30:00,0.0
2018-01-01 16:45:00,0.0
2018-01-01 17:00:00,0.0
2018-01-01 17:15:00,0.0
2018-01-01 17:30:00,0.0
2018-01-01 17:45:00,0.0
2018-01-01 18:00:00,0.0
2018-01-01 18:15:00,0.0
2018-01-01 18:30:00,0.0
2018-01-01 18:45:00,0.0
2018-01-01 19:00:00,0.0
2018-01-01 19:15:00,0.0
2018-01-01 19:30:00,0.0
2018-01-01 19:45:00,0.0
2018-01-01 20:00:00,0.0
2018-01-01 20:15:00,0.0
2018-01-01 20:30:00,0.0
2018-01-01 20:45:00,0.0
2018-01-01 21:00:00,0.0
2018-01-01 21:15:00,0.0
2018-01-01 21:30:00,0.0
2018-01-01 21:45:00,0.0
2018-01-01 22:00:00,0.0
2018-01-01 22:15:00,0.0
2018-01-01 22:30:00,0.0
2018-01-01 22:45:00,0.0
2018-01-01 23:00:00,0.0
2018-01-01 23:15:00,0.0
2018-01-01 23:30:00,0.0
2018-01-01 23:45:00,0.0
2018-01-02 00:00:00,0.0
2018-01-02 00:15:00,0.0
2018-01-02 00:30:00,0.0
2018-01-02 00:45:00,0.0
2018-01-02 01:00:00,0.0
2018-01-02 01:15:00,0.0
2018-01-02 01:30:00,0.0
2018-01-02 01:45:00,0.0
2018-01-02 02:00:00,0.0
2018-01-02 02:15:00,0.0
2018-01-02 02:30:00,0.0
2018-01-02 02:45:00,0.0
2018-01-02 03:00:00,0.0
