,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2018-08-16 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416
2018-08-16 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837
2018-08-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566
2018-08-16 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192
2018-08-16 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521
2018-08-16 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082
2018-08-16 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111
2018-08-16 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481
2018-08-16 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311
2018-08-16 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952
2018-08-16 04:00:00,0.0,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812
2018-08-16 04:15:00,0.0,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122
2018-08-16 04:30:00,0.0,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202
2018-08-16 04:45:00,0.0,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443
2018-08-16 05:00:00,0.0,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004
2018-08-16 05:15:00,0.31416,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165
2018-08-16 05:30:00,0.60837,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522
2018-08-16 05:45:00,0.97566,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922
2018-08-16 06:00:00,1.71192,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173
2018-08-16 06:15:00,3.04521,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962
2018-08-16 06:30:00,4.88082,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373
2018-08-16 06:45:00,7.012111,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031
2018-08-16 07:00:00,9.29481,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193
2018-08-16 07:15:00,11.615311,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052
2018-08-16 07:30:00,13.963952,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525
2018-08-16 07:45:00,16.161812,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005
2018-08-16 08:00:00,18.285122,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973
2018-08-16 08:15:00,20.185202,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004
2018-08-16 08:30:00,22.00443,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174
2018-08-16 08:45:00,23.688004,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424
2018-08-16 09:00:00,25.199165,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005
2018-08-16 09:15:00,26.588522,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602
2018-08-16 09:30:00,27.940922,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863
2018-08-16 09:45:00,29.206173,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521
2018-08-16 10:00:00,30.297962,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232
2018-08-16 10:15:00,30.995373,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361
2018-08-16 10:30:00,31.971031,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282
2018-08-16 10:45:00,32.537193,32.93052,33.287525,33.574383000000005,33.632973,33.553383000000004,33.24174,33.075424,32.592003000000005,31.974602,31.429863,30.641521,29.665232,28.794361,27.629282,26.572773
